crop_code,Main_use_aggregated,Detailed_use_aggregated,Used_part_aggregated
10000,"environmental, food & beverage, medicinal","minerals, ornamental/turf, protein, sensory applications, vitamins","entire plant, roots, seeds"
10010,"animal food (feed), environmental","ornamental/turf, vitamins",entire plant
10015,"animal food (feed), environmental, food & beverage, material, medicinal, non-vertebrate food","agroforestry, blood system applications, digestive system applications, genitourinary system applications, gums/resins, immune system applications, living fence, minerals, muscular/skeletal applications, paper, skin applications, vitamins","bark, bulbs, entire plant, exudates, fruits, leaves, stems"
10017,animal food (feed),"minerals, vitamins",entire plant
1002,"animal food (feed), environmental, food & beverage, food additive, material, medicinal, poison","blood system applications, condiment/seasoning, digestive system applications, mammals, minerals, nervous system applications, ornamental/turf, respiratory applications, skin applications, timber wood, vitamins","bark, entire plant, flowers, fruits, leaves, seeds"
10030,"environmental, food & beverage","cover crop, minerals, starch, vitamins","entire plant, roots"
10032,"medicinal, poison","digestive system applications, endocrine system applications, mammals, metabolic system applications, skin applications","leaves, roots"
10046,"animal food (feed), food & beverage, medicinal","blood system applications, digestive system applications, skin applications, vitamins","entire plant, leaves"
10057,material,timber wood,bark
10062,material,timber wood,bark
1007,"animal food (feed), environmental, food & beverage, medicinal, poison","agroforestry, insects, living fence, minerals, revegetation, shade & shelter, skin applications, soil improvers, Unspecified, vitamins","entire plant, flowers, leaves, roots, stems"
10081,"food additive, material","emulsifier, fibres, gums/resins, stabiliser, starch, timber wood","bark, exudates, stems"
10082,material,"fibres, gums/resins","exudates, stems"
10083,material,timber wood,bark
10084,"food additive, medicinal","blood system applications, genitourinary system applications, immune system applications, nutritional applications, skin applications, sweetener",leaves
10086,"animal food (feed), environmental","minerals, revegetation, vitamins",entire plant
10088,"animal food (feed), environmental","minerals, revegetation, vitamins",entire plant
10089,animal food (feed),"minerals, vitamins",entire plant
10092,material,paper,leaves
10104,animal food (feed),"minerals, vitamins",entire plant
10105,animal food (feed),"minerals, vitamins",entire plant
10106,animal food (feed),"minerals, vitamins",entire plant
10107,animal food (feed),"minerals, vitamins",entire plant
10108,animal food (feed),"minerals, vitamins",entire plant
10109,"animal food (feed), non-vertebrate food","minerals, vitamins",entire plant
10110,animal food (feed),vitamins,entire plant
1012,"environmental, medicinal","firebreaks, living fence, ornamental/turf, shade & shelter, soil improvers, support, Unspecified, windbreak","entire plant, stems"
10126,"environmental, food & beverage, medicinal","genitourinary system applications, living fence, minerals, respiratory applications, skin applications, vitamins","entire plant, fruits, leaves, roots, stems"
10130,"animal food (feed), food & beverage, fuels, medicinal","digestive system applications, fuelwood, genitourinary system applications, minerals, sensory applications, vitamins","bark, fruits, leaves, roots, stems"
10135,"animal food (feed), food & beverage, material, medicinal, poison","genitourinary system applications, mammals, minerals, respiratory applications, sensory applications, timber wood, vitamins","bark, fruits, leaves, roots, seeds, stems"
10143,animal food (feed),"minerals, vitamins",entire plant
10144,"animal food (feed), medicinal","minerals, Unspecified, vitamins","entire plant, Unspecified"
10145,"animal food (feed), environmental","erosion control, minerals, nitrogen fixation, protein, revegetation",entire plant
10146,"animal food (feed), environmental","erosion control, minerals, protein, soil improvers, vitamins",entire plant
10147,"animal food (feed), environmental","cover crop, erosion control, manure/fertilizer, minerals, protein, soil improvers, vitamins",entire plant
10148,animal food (feed),"minerals, vitamins",entire plant
10149,animal food (feed),"minerals, vitamins",entire plant
10150,"animal food (feed), environmental","agroforestry, minerals, vitamins",entire plant
1017,"environmental, fuels, material, medicinal, poison","agroforestry, bacteria, charcoal, dye/tannin, essential oils, firebreaks, fuelwood, honey, immune system applications, ornamental/turf, paper, respiratory applications, shade & shelter, timber wood","bark, entire plant, flowers, leaves"
10186,material,timber wood,bark
10187,"environmental, fuels, material","fuelwood, ornamental/turf, shade & shelter, timber wood, windbreak","bark, entire plant"
1019,"environmental, fuels, material","agroforestry, charcoal, fuelwood, ornamental/turf, paper, revegetation, timber wood","bark, entire plant"
10207,"animal food (feed), environmental, food & beverage, fuels, material, medicinal, poison","charcoal, digestive system applications, dye/tannin, erosion control, fish, fuelwood, honey, living fence, minerals, ornamental/turf, shade & shelter, timber wood, vitamins","bark, entire plant, flowers, fruits, leaves, roots, stems"
1021,"environmental, fuels, material","agroforestry, charcoal, fuelwood, honey, ornamental/turf, paper, timber wood","bark, entire plant, flowers"
1022,material,timber wood,bark
